epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,276.973,1.28636,1.64886,1.7355,0.06832,0.44041,0.44045,0.39946,0.2979,0.90243,0.93699,1.17396,0.02267,0.00996894,0.00332298,0.00996894,0.00332298,0.00996894,0.00332298,0.00996894,0.00332298
2,545.997,0.91319,0.84987,1.13042,0.026,0.54642,0.50578,0.48335,0.37026,0.82199,0.72958,1.09019,0.01563,0.0198371,0.00661238,0.0198371,0.00661238,0.0198371,0.00661238,0.0198371,0.00661238
3,829.981,0.88221,0.79013,1.09909,0.02363,0.53057,0.52234,0.49419,0.3788,0.81497,0.70442,1.08309,0.01422,0.0295734,0.00985778,0.0295734,0.00985778,0.0295734,0.00985778,0.0295734,0.00985778
4,1218.87,0.86899,0.76343,1.0831,0.02356,0.61519,0.52765,0.53545,0.41619,0.78173,0.66275,1.04116,0.01384,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1633.97,0.84984,0.72838,1.06909,0.02241,0.62614,0.53369,0.54829,0.41788,0.77564,0.66117,1.04035,0.01192,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2048.87,0.83147,0.70778,1.05801,0.02102,0.64478,0.55925,0.58157,0.46435,0.7422,0.60391,1.02625,0.01113,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2453.4,0.82193,0.69246,1.05139,0.02036,0.64023,0.54004,0.56162,0.4491,0.7369,0.61309,1.02766,0.01208,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2834.01,0.81271,0.67993,1.04589,0.01982,0.61793,0.54904,0.55244,0.44187,0.73991,0.61052,1.02034,0.01163,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3267.55,0.80832,0.66845,1.04058,0.01964,0.62605,0.55937,0.56037,0.4464,0.73087,0.60672,1.01354,0.01054,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,3693.96,0.80209,0.66166,1.04103,0.01894,0.67205,0.57277,0.59838,0.48497,0.71599,0.58217,1.00682,0.01024,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,4110.06,0.79784,0.65548,1.03746,0.01893,0.66489,0.58318,0.60723,0.49242,0.7087,0.56384,1.00193,0.01043,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
