epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,194.691,1.06418,1.38392,1.70677,0.03415,0.48994,0.45851,0.44232,0.32918,0.86997,0.84862,1.15709,0.01925,0.00996894,0.00332298,0.00996894,0.00332298,0.00996894,0.00332298,0.00996894,0.00332298
2,383.722,0.90216,0.83185,1.12337,0.02425,0.56525,0.51227,0.49633,0.37366,0.81675,0.71014,1.0838,0.01433,0.0198371,0.00661238,0.0198371,0.00661238,0.0198371,0.00661238,0.0198371,0.00661238
3,570.885,0.88583,0.79589,1.09981,0.02295,0.58145,0.49479,0.49775,0.37816,0.83525,0.71558,1.0775,0.0149,0.0295734,0.00985778,0.0295734,0.00985778,0.0295734,0.00985778,0.0295734,0.00985778
4,757.76,0.88139,0.78172,1.08954,0.02337,0.56336,0.50842,0.49982,0.38243,0.80794,0.70624,1.06099,0.0136,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,945.022,0.86668,0.75261,1.07948,0.02206,0.62859,0.53433,0.5428,0.41714,0.79992,0.66095,1.05378,0.0129,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1132.03,0.85152,0.73215,1.06992,0.02105,0.65289,0.53488,0.57085,0.44761,0.78285,0.6469,1.04533,0.0115,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1319.58,0.84555,0.71824,1.06715,0.02039,0.62205,0.53775,0.55652,0.44267,0.76375,0.63055,1.03945,0.0111,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1506.95,0.83681,0.70716,1.06268,0.01991,0.63436,0.54294,0.56247,0.43981,0.77798,0.62865,1.05455,0.01258,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1693.93,0.835,0.69878,1.05817,0.01973,0.64723,0.54089,0.57146,0.45618,0.76322,0.62336,1.03177,0.01192,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1881.82,0.82953,0.68865,1.05889,0.01911,0.67917,0.56953,0.60483,0.4811,0.7562,0.59804,1.03061,0.01065,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2068.57,0.82624,0.68481,1.05619,0.01912,0.68496,0.55732,0.59861,0.47585,0.74775,0.60639,1.03182,0.01094,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2256.81,0.82381,0.67705,1.05249,0.01875,0.66797,0.56203,0.5998,0.48166,0.74991,0.5962,1.02497,0.01088,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2443.87,0.81761,0.67044,1.05046,0.01849,0.69619,0.55487,0.60357,0.48239,0.75233,0.59157,1.02823,0.01002,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2631.09,0.81506,0.66565,1.0515,0.01827,0.69126,0.58925,0.62552,0.50077,0.74056,0.57303,1.0209,0.0102,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
