epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,195.64,1.27469,1.5926,1.80281,0.06268,0.41813,0.38168,0.35247,0.24903,1.05828,1.00677,1.25415,0.04054,0.00996894,0.00332298,0.00996894,0.00332298,0.00996894,0.00332298,0.00996894,0.00332298
2,384.698,1.08413,1.03355,1.22791,0.04283,0.50433,0.41559,0.39911,0.28376,0.98758,0.93459,1.1796,0.03146,0.0198371,0.00661238,0.0198371,0.00661238,0.0198371,0.00661238,0.0198371,0.00661238
3,572.575,1.061,0.99237,1.20015,0.03903,0.50542,0.44697,0.41335,0.29018,1.02734,0.91612,1.17809,0.03093,0.0295734,0.00985778,0.0295734,0.00985778,0.0295734,0.00985778,0.0295734,0.00985778
4,759.726,1.05076,0.97192,1.18889,0.03775,0.54338,0.42519,0.4281,0.30516,1.00488,0.91289,1.16388,0.03683,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,947.66,1.02405,0.92784,1.16715,0.03508,0.55535,0.44708,0.44369,0.31828,0.95051,0.83871,1.1489,0.02672,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1135.46,1.00919,0.90484,1.15949,0.0333,0.59675,0.46426,0.48542,0.35077,0.93915,0.80716,1.13184,0.02709,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1323.49,0.99942,0.88776,1.15321,0.0322,0.58438,0.44728,0.47198,0.3438,0.93616,0.81694,1.13938,0.02357,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1511.67,0.98904,0.87195,1.14811,0.03128,0.59386,0.46994,0.48786,0.35982,0.9102,0.81181,1.12072,0.02084,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1699.4,0.98545,0.86588,1.14291,0.03074,0.64334,0.47356,0.5095,0.37137,0.90214,0.7669,1.1154,0.02071,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1887.61,0.97749,0.85153,1.1416,0.03011,0.61309,0.49071,0.51608,0.38684,0.89826,0.76679,1.11209,0.01931,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2075.22,0.9734,0.84605,1.13937,0.0298,0.64067,0.49891,0.5249,0.39276,0.8785,0.75034,1.10692,0.01861,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2263.57,0.96232,0.833,1.12946,0.02882,0.66222,0.48439,0.52699,0.39966,0.87831,0.74487,1.09963,0.01879,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2450.85,0.95574,0.82311,1.12719,0.0281,0.64117,0.49367,0.52656,0.39554,0.87408,0.73747,1.09858,0.0183,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2638.31,0.95848,0.82318,1.13035,0.02824,0.65438,0.49361,0.53432,0.40411,0.87476,0.73914,1.09813,0.01826,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2826.63,0.95344,0.81704,1.12542,0.0277,0.66035,0.49195,0.54215,0.41038,0.86943,0.72489,1.09681,0.01791,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,3014.65,0.94928,0.80985,1.1235,0.02716,0.67739,0.51248,0.55103,0.4201,0.86482,0.70932,1.09626,0.01759,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,3201.85,0.94944,0.81018,1.12173,0.02785,0.70465,0.5027,0.56121,0.42973,0.85844,0.71097,1.08899,0.01665,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,3390,0.94049,0.79879,1.1186,0.02677,0.68104,0.52614,0.57048,0.43236,0.85508,0.6952,1.08946,0.01649,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,3577.4,0.93731,0.79394,1.11577,0.02672,0.68759,0.5202,0.5677,0.43664,0.84785,0.69117,1.08081,0.01695,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,3765.67,0.93565,0.79144,1.11416,0.02636,0.6945,0.52197,0.56997,0.43953,0.8444,0.68809,1.07963,0.0162,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,3953.3,0.93198,0.78994,1.11531,0.02626,0.70864,0.52375,0.58016,0.44637,0.83899,0.68322,1.07869,0.01615,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,4140.8,0.92642,0.77855,1.10969,0.02547,0.70867,0.52347,0.58247,0.45012,0.83943,0.67878,1.07518,0.01578,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,4329.03,0.93107,0.78354,1.11401,0.02573,0.71729,0.51516,0.58137,0.45144,0.83498,0.67517,1.0751,0.0158,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,4516.75,0.92392,0.77559,1.10901,0.02533,0.6961,0.52829,0.58219,0.45122,0.83157,0.67212,1.07203,0.01552,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,4704.74,0.92969,0.78024,1.11221,0.0258,0.72779,0.52153,0.58963,0.45569,0.83307,0.66586,1.07354,0.01544,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,4892.24,0.92187,0.77323,1.10879,0.02536,0.7094,0.52136,0.58161,0.45037,0.83399,0.67068,1.07268,0.01522,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,5079.39,0.91986,0.76954,1.10603,0.02522,0.72325,0.5241,0.58957,0.45815,0.83349,0.66536,1.07212,0.01545,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,5266.89,0.91185,0.76221,1.10261,0.02415,0.69219,0.54045,0.59109,0.46024,0.8276,0.65739,1.06834,0.01523,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
